name,singer,lyrics
Nous (Julien Doré),Julien Doré,"Nous\nOn ira voir la mer\nVoir si les gens sont fiers\nImaginer monter l'eau\nBien qu'on n'ait rien su faire \nOn n'a plus rien à perdre\nUn peu de ventre et d'égo\nEt quelques langues à défaire\nPour les revoir se plaire \n\n(x2)\nNous nous nous\nNous on s'en fout de vous\nVous pouvez prendre tout\nTant qu'on est tendres nous \n\nNous\nOn ira voir la mer\nVoir si la lune éclaire\nDe quelques têtes hors de l'eau\nUn monde où tout se perd \nDemain c'est juste hier\nUn peu laissé sur le dos\nUn peu blessé par les pierres\nQu'on n'a pas voulu perdre\n\n(x2)\nNous, nous, nous\nNous on s'en fout de vous\nVous pouvez prendre tout\nTant qu'on est tendres nous \n\n(x2)\nNous, nous, nous (Nous)"
Nous deux,Flo Delavega,"Au fond qu'importe où je serai demain,\nIl n'est qu'un seul rêve à mes yeux\nTant de destins et tellement de chemins,\nUn seul instant là sous les cieux  \n\nEt puis qu'importe si tout s'efface\nAu fond de moi\nMais je le sais, tout est écrit\nAu plus profond de l'éter'\nS'il est un monde où tout s'efface,\nIl est en moi une vérité\nTant de rêves où j'entends jouer cet air\n(Et j'entends jouer cet air)  \n<br />\n(x2)\nDerrière chacun de mes pas\nTellement de rêves et tellement de toi\nDerrière chacun de mes pas\nTellement de rêves de nous deux à la fois\n\nBien au-delà de notre réalité\nBien au-delà de tous nos repères\nIl est un cri dans l'immensité\nIl est un hymne autour de la Terre  \nEt puis qu'importe si tout s'efface au fond de moi\nMais je le sais, tout est écrit au plus profond de l'éther\nS'il est un monde où tout s'efface\nIl est en moi une vérité et tant de rêves où j'entends jouer cet air  \n\n(x2)\nDerrière chacun de mes pas\nTellement de rêves et tellement de toi\nDerrière chacun de mes pas\nTellement de rêves de nous deux à la fois  \n\n(x2)\nUn peu de nous deux dans cet air\nUn peu de nous deux dans ce rêve à deux   \n\nDerrière chacun de mes pas\nTellement de rêves et tellement de toi\nDerrière chacun de mes pas\nTellement de rêves de nous deux \n\n(x2)\nDerrière chacun de mes pas\nTellement de rêves et tellement de toi\nDerrière chacun de mes pas\nTellement de rêves de nous deux à la fois \n\n(x2)\nUn peu de nous deux dans cet air\nUn peu de nous deux dans ce rêve à deux   \n\nDerrière chacun de mes pas\nTellement de rêves et tellement de toi\nDerrière chacun de mes pas\n(Un peu de nous deux)"
Nous nous reverrons un jour ou l'autre,Charles Aznavour,"Nous nous reverrons un jour ou l'autre\nSi vous y tenez autant que moi\nPrenons rendez-vous\nUn jour n'importe où\nJe promets que j'y serai sans faute\nA Noël comme à la pentecôte\nA Noël comme à la pentecôte\nA Rio de Janeiro ou à Moscou\nPlus on est de fous\nPlus on rit de tout\nNous nous reverrons un jour ou l'autre\nJ'y tiens beaucoup\nNous nous reverrons un jour ou l'autre\nLe monde est petit profitons-en\nSi votre chemin\nPasse par le mien\nMa roulotte croisera la vôtre\nComme il ne faut pas tenter le diable\nEn disant : ""à la prochaine fois""\nFaites comme moi\nEn croisant les doigts\nOu si vous trouvez ça préférable\nTouchons du bois\nLe hasard souvent fait bien les choses\nLe hasard souvent fait bien les choses\nSurtout quand on peut l'aider un peu\nUne étoile passe, et je fais un vœu\nNous nous reverrons un jour ou l'autre\nSi Dieu le veut"
Nouveau Français,Amel Bent,Casé dans des cases\nFiché sur des fiches\nAux discours de base\nEt front sur l'affiche\nMême si y en a marre\nSans juger personne\nY a qu'à seulement voir\nLes clichés qu'on donne\n\nMais qui fait des histoires\nVraiment dans ce pays\nMoi j'viens bien d'quelque part\nMais je suis ici\nJe suis ici\n\nNouveau français\nUn français nouveau\nNouveau français\nSous le même drapeau\nSans même un besoin\nDe reconnaissance\nMais ni plus ni moins\nQu'un enfant de la France   (x2)\nDe la France\n\nGêné par les gènes\nMiné par la mine\nLes casseroles qu'on traîne\nCes regards qui soulignent\nQu'on a la chance d'être là\nFaut pas qu'on l'oublie\nJe viens bien d'un endroit\nMais je suis ici\n\nMais qui fait des histoires\nVraiment dans ce pays\nJe viens bien d'quelque part\nMais je suis ici\nJe suis ici\n\nNouveau français\nUn français nouveau\nNouveau français\nSous le même drapeau\nSans même un besoin\nDe reconnaissance\n(Nouveau français)\nMais ni plus ni moins\nQu'un enfant de la France   (x2)\nDe la France\n\nNouveau français\nUn français nouveau\nNouveau français\nSous le même drapeau\n\nNouveau français\nDepuis le berceau\nDu bon du mauvais\nEt même d'autres défauts\nSans même un besoin\nDe reconnaissance\n(Nouveau français)\nMais ni plus ni moins\nQu'un enfant de la France   (x2)\nDe la France
Nouveau western,MC Solaar,"Le vent souffle en Arizona\nUn état d'Amérique, dans lequel Harry zona\nCow-boy dingue du bang bang du flingue\nDe l'arme du cheval, et de quoi faire la bringue\nPoursuivi par Smith et Wesson \nColt Derringer, Winchester et Remington\nIl erre dans les plaines, fier, solitaire\nSon cheval est son partenaire\nParfois, il rencontre des Indiens\nMais la ruée vers l'or est son seul dessein\nSa vie suit un cours que l'on connaît par cœur\nLa rivière sans retour d'Otto Preminger\nTandis que John Wayne est looké à la Lucky Luke\nPropre comme un archiduc, Oncle Sam me dupe\nHollywood nous berne, Hollywood berne\nDans la vie de tous les jours comme dans les nouveaux westerns\n\n\nOn dit gare au gorille mais gare à Gary Cooper\nLe western moderne est installé dans le secteur\nQuand la ville dort les trains ne sifflent pas\nLes sept mercenaires n'ont pas l'once d'un combat\nHarry désormais est proche de gare de l'est\nIl saute les époques et les lieux pour un nouveau Far-West\nLes saloons sont des bistrots on y vend des clopes\nPas de la chique du top du cinémascope\nIl entre dans le bar, commande un indien\nScalpe la mousse, bois, repose le verre sur le zinc\nUne deux chevaux se parque, saouls, des types se beignent\nPour des motifs futiles comme dans\nLes nouveaux westerns\n\nLes States sont une sorte de multinationale\nElle exporte le western et son modèle féodal\nDicte le bien le mal, Lucky Luke et les Dalton\nSont camouflés en Paul Smith et Weston\nOn dit que ce qui compte c'est le décor\nL'habit ne fait pas le moine dans la ruée vers l'or\nDès lors les techniques se perfectionnent\nLa carte à puce remplace le Remington\nMais Harry à Paris n'a pas eu de chance\nOn le stoppe sur le périph' avec sa diligence\nPuis on le place à Fresnes\nPour que Fresnes le freine\nVictime des directives de ce que l'on appelle\nLe nouveau western   (x 2) \n\n[Instrumental] \n\nParfois la vie ressemble à une balle perdue\nDans le système moderne se noie l'individu\nPour rester lucide il s'abreuvait de Brandy\nDésormais on brandit télé, shit et baby\nBlanche est la chevauchée fantastique\nToujours à contre-jour c'est bien moins héroïque\nDans le monde du rêve on termine par un happy end\nEst-ce aussi le cas de ce que l'on nomme\nLe nouveau western   (x 7)"
Nouvelle vague,Richard Anthony,"<br />\nNouvelle vague\nNouvelle vague\n<br />\nUne p´tite MG, trois compères\nAssis dans la bagnole sous un réverbère\nUne jambe ou deux par-d'ssus la portière, la... \nNouvelle vague\nNouvelle vague\n<br />\nTrois mignonnes approchent fort bien balancées\nElles chantent une chanson d´Elvis Presley\nVoilà nos trois pépères soudain tout éveillés par cette\nNouvelle vague\n<br />\nPas mal, pas mal du tout\nOh ! ça c´est un sacré coup\nAllez venez on leur paye un coca\nMoi j´veux la grande blonde\nMoi j´prends la petite ronde\nEh ! Les gars, n´oubliez pas\nNouvelle vague\nNouvelle vague\n\nFaut pas grand chose pour faire connaissance\nOn boit, on cause, on rit, on danse\nMais faut garder cette indépendance de la...\nNouvelle vague\nNouvelle vague\n\n[ Instrumental ]\n\nNouvelle vague\nNouvelle vague\n\nUne p´tite MG, trois compères\nAssis dans leur bagnole sous un réverbère\nLisent leur canard d´un air très fier\nNouvelle vague\nNouvelle vague\n\nEt, dans ce canard qu´est-ce qu´on y lit\nDes tas d´histoires écrites par des gens rassis\nDonnant des coups de griffe avec dépit sur la\nNouvelle vague\nNouvelle vague\nNouvelle vague\nNouvelle vague"
Noël blanc,Traditionnel ,"Oh ! quand j'entends chanter Noël\nJ'aime à revoir mes joies d'enfant\nLe sapin scintillant, la neige d'argent\nNoël mon beau rêve blanc\nOh ! quand j'entends sonner au ciel\nL'heure où le bon vieillard descend\nJe revois tes yeux clairs, Maman\nEt je songe à  d'autres Noëls blancs\nLa nuit est pleine de chants joyeux\nLe bois craque dans le feu\nLa table est déjà  garnie\nTout est prêt pour mes amis\nEt j'attends l'heure où ils vont venir\nEn écoutant tous mes souvenirs\nOh ! quand j'entends chanter Noël\nJ'aime revoir mes joies d'enfant\nLe sapin scintillant, la neige d'argent\nNoël mon beau rêve blanc\nOh ! quand j'entends sonner au ciel\nL'heure où le bon vieillard descend\nJe revois tes yeux clairs, Maman\nEt je songe à  d'autres Noëls blancs\nJe revois tes yeux clairs, Maman\nEt je songe à  d'autres Noëls blancs"
Noël ensemble,Ensemble contre le sida,"Noël ensemble\nPasser Noël ensemble\nNoël ensemble\nPasser Noël ensemble\nNoël ensemble\n\nOublier les frontières\nDépasser nos querelles\nCe soir nous rassemble\nRefuser d'être seul\nRevenir à l'enfance\nEt pouvoir rêver\nD'un sapin qui touche le ciel\nDe former une guirlande\nEt quand tout n'est qu'étincelle\nQu'une étoile nous attende\n\nNoël ensemble\nPasser Noël ensemble\nNoël, Noël\nEnsemble\nHummm\nPasser Noël ensemble\nHoou\nNoël ensemble\nHoou\nNoël ensemble\n\nÀ la lumière du jour\nEt contre le silence\nQui nous entoure\nLaisser faire la magie\nDes flocons de lumière\nEt les regards remplis de soleil\nQuand les nuits se ressemblent\nD'un mot une prière\nFaire que nos mains se tendent\n\nNoël ensemble\nPasser Noël ensemble\nNoël (Chœurs) Noël\nOoh ooh\nEnsemble\nPasser Noël ensemble\nNoël ensemble\n(Chœurs) Noël\n(Chœurs) Noël ensemble\n\nEt se promettre un rendez-vous\nChaque année en décembre\nOn sait pourquoi on court\nQuand on cherche l'amour\nQuand on cherche l'amour\n\nNoël, Noël\nEnsemble\nPasser Noël ensemble\nNoël ensemble\nNoël\nEnsemble\nNoël ensemble (Chœurs)\nPasser Noël ensemble\nNoël Ensemble (Chœurs)\nNoël\nNoël (Chœurs)\nEnsemble\nPasser Noël ensemble\nNoël ensemble\n(Chœurs)\nNoël ... Noël ...\n(Chœurs) ... ensemble\nPasser Noël ensemble\n(Chœurs)\nNoël ensemble\nNoël ensemble (parlé)\nNoël ensemble (parlé)"
Noël interdit,Johnny Hallyday,C'est un Noël pour les enfants perdus\nPour tous ceux qui n'y ont jamais cru\nC'est un Noël pour les chiens sans collier\nPour ce gosse de la rue que j'étais\nNoël de ma vie mon Noël interdit\nJ'aurais tant aimé croire à l'histoire\nMais mon cœur d'enfant était déjà trop grand\nEt mes rêves emportés par le vent\nC'est un Noël pour mes premiers copains\nOubliés au hasard des mauvais chemins\nUne chanson pour ceux dont l'horizon\nEst le mur sombre et gris des prisons\nNoël de la nuit mon Noël interdit\nJe voudrais l'oublier avec toi\nAuprès de ce feu qui brille dans tes yeux\nJe veux être un enfant heureux\nC'est mon Noël le premier de ma vie\nOù le rêve ne m'est plus interdit
Nue,Clara Luciani,"Je rêve, pince-moi pour voir\nJ'avoue j'ai du mal\nJ'ai du mal à le croire\nC'est moi qui chantais ce soir\nEst-ce que c'est moi qui\nVraiment moi qui chantais ?\n\nSuis-je plus laide ou plus belle\nQue sur la photo de mon disque orange ?\nSuis-je seulement celle\nCelle dont j'ai l'air ?\nSouvent je change\n\nRegarde allez, regarde-moi tu vois\nJ'ai enlevé mes bijoux\nDémaquillé le noir à mes yeux\nÔté le rose à mes joues\nEt je viens nue vers toi\nÔ-ô-ôté le rose à mes joues\nEt je viens nue vers toi\nÔ-ô-ôté le rose à mes joues\nEt je viens nue vers toi\n\nEn pleureuse italienne\nOu en bon petit, en bon petit soldat\nComment tu me préfères\nEn héroïne ou, ou en blessée de guerre ?\nCette vie que j'habite\nParfois me dépasse, parfois est trop petite\nPeur que ma chance me quitte\nJe cours partout je m'ennuie vite\n\nRegarde allez, regarde-moi tu vois\nJ'ai enlevé mes bijoux\nDémaquillé le noir à mes yeux\nÔté le rose à mes joues\nEt je viens nue vers toi\nÔ-ô-ôté le rose à mes joues\nEt je viens nue vers toi\nÔ-ô-ôté le rose à mes joues\nEt je viens nue vers toi\n\nRegarde allez, regarde-moi tu vois\nJ'ai enlevé mes bijoux\nDémaquillé le noir à mes yeux\nÔ-ô-ôté le rose à mes joues\nEt je viens nue vers toi\nÔ-ô-ôté le rose à mes joues\nEt je viens nue vers toi"
Nuit,"Carole Fredericks, Jean-Jacques Goldman et Michael Jones",La nuit t'habille dans mes bras\nPâles rumeurs et bruits de soie\nConquérante immobile\nReine du sang des villes\nJe la suppose et la voilà\nTout n'est plus qu'ombre rien ne ment\nLe temps demeure et meurt pourtant\nTombent les apparences\nNos longs si longs silences\nLes amants se perdent en s'aimant\nSolitaires à un souffle de toi\nSi près tu m'échappes déjà\nMon intime étrangère\nSe trouver c'est se défaire\nÀ qui dit-on ces choses-là\nDors\n\n[ Instrumental ]\n\nAs dawn lights up another day\nVisions I once had fade away\nAll others words unspoken\nMy wildest dreams unwoken\nIt wasn't supposed to be that way\nShould I leave why should I stay\n(Solitaire à un soufflé de toi)\nBut leavin' behind me yesterday\n(Tout près tu m'échappes déjà)\nAm I free or forsaken\n(Mon intime étrangère)\nCheated or awakened\n(Se trouver se défaire)\nDoes it matter anyway
Nuit de folie,Début de Soirée,Y a pas de saison pour que vive la musique\nAu fond pas de saison pour que vive le son\nEn marchant tu donnes une cadence à tes pas\nTu sens la musique au bout de tes doigts\nTu dis que la vie qu'on t'a donnée est faite pour ça\nTant de choses grâce au son tu connaîtras\nTon cœur est un saphir de pick-up\nOn a trouvé des décibels dans ton check-up\n\n(x 2)\nEt tu chantes chantes chantes\nCe refrain qui te plaît\nEt tu tapes tapes tapes\nC'est ta façon d'aimer\nCe rythme qui t'entraîne jusqu'au bout de la nuit\nRéveille en toi le tourbillon d'un vent de folie \n\n[Instrumental] \n\nTu danses le monde musique américaine\nLa cadence du funk au plus haut t'emmène\nLe tempo en délire si ce soir il fait chaud\nC'est qu'on monte nos mains vers le point le plus haut\n\n(x 2) \nEt tu chantes chantes chantes\nCe refrain qui te plaît\nEt tu tapes tapes tapes\nC'est ta façon d'aimer\nCe rythme qui t'entraîne jusqu'au bout de la nuit\nRéveille en toi le tourbillon d'un vent de folie\n\n[Instrumental]\n\nToi qui dessines au fond de ton ennui\nLes notes d'une mélodie\nUne musique sans accord majeur\nC'est une piste sans danseur\nMais si tu ranges dans ces moments-là\nDans un placard tes idées noires\nLes notes pourront se danser\nEt nous reviendrons les chanter\n\nQuand le sucre est tombé choqué\nLe café renversé\nJe sentais bien que la journée était mal commencée\nPlus tard la caisse était cassée\nAvant que craquent les chromes\nMettant la gomme\nJ'avais détalé\nLa musique était mon sourire\nLes vieux succès mes souvenirs\nOn sent tous son dernier soupir\nLorsqu'on va mourir\nMais un souffle j'avais gardé\nCar on ne peut pas trépasser\nChacun le sait\nSans voir un Disc-Jockey\n\nEt tu chantes danses jusqu'au bout de la nuit\nTes flashes en musique funky\nIl y a la basse qui frappe\nEt la guitare qui choque\nIl y a le batteur qui s'éclate\nEt toi qui tiens le choc\n\n(x 3) \nEt tu chantes chantes chantes\nCe refrain qui te plaît\nEt tu tapes tapes tapes\nC'est ta façon d'aimer\nCe rythme qui t'entraîne jusqu'au bout de la nuit\nRéveille en toi le tourbillon d'un vent de folie
Nuit magique,Catherine Lara,"O.K. il n'y avait rien à faire\nO.K. dans cette ville étrangère\nO.K. tu étais solitaire\nO.K. j'avais l'cœur à l'envers\n\nO.K. tout ça n'était qu'un jeu\nO.K. on jouait avec le feu\nO.K. on s'est pris au sérieux\nO.K. le rire au fond des yeux\n\nNuit magique\nUne histoire d'humour qui tourne à l'amour\nQuand vient le jour\nNuit magique\nOn perd la mémoire au fond d'un regard\nHistoire d'un soir\nNuit magique\nSi loin de tout sans garde-fou\nAutour de nous\nNuit magique\nNuit de hasard, on se sépare\nSans trop y croire\n\nO.K. c'est une histoire de peau\nO.K. on repart à zéro\nO.K. on oublie aussitôt\nO.K. qu'on s'est tourné le dos\n\nNuit magique\n\n[Instrumental]\n\n(x 2)\nNuit magique\nUne histoire d'humour qui tourne à l'amour\nQuand vient le jour\nNuit magique\nOn perd la mémoire au fond d'un regard\nHistoire d'un soir\nNuit magique\nSi loin de tout sans garde-fou\nAutour de nous\nNuit magique\nNuit de hasard, on se sépare\nSans trop y croire"
Nuit sauvage,Les Avions,"Je danse\nEt sur la piste d'une boîte à musique\nElle se balance sous des milliers de soleils\nFumée menthol accrochée au bar\nElle me regarde et je bascule dans le ciel\nPerdu dans ses yeux verts et oranges\nHé, hé, hé\n\nLa nuit est chaude (la nuit est chaude)\nElle est sauvage\nLa nuit est belle (la nuit est belle)\nPour ses otages\n\nElle est partie à travers la ville\nÉtoile filante dans un taxi noir et vert\nJe l'ai perdue à cause d'un tramway\nEt sur la plage je bois des milliers de verres\nPerdu dans dans ses yeux verts et oranges\nHé, hé, hé\n\n(x 2)\nLa nuit est chaude (la nuit est chaude)\nElle est sauvage\nLa nuit est belle (la nuit est belle)\nPour ses otages\n\nHé hé hé hé hé hé hé hé hé\n\n(... ... déshabillant de son regard noir\nJ'aimerais un jour le retrouver et peut-être même, même l'aimer)\nEt elle me hante et me poursuit\nEt je la traque sans arrêt le jour comme la nuit\nJe la retrouverai\nHé, hé\n\nLa nuit est chaude (la nuit est chaude)\nElle est sauvage\nLa nuit est belle (la nuit est belle)\nPour ses otages\n\nLa nuit\n\n(x 2)\nLa nuit est chaude (la nuit est chaude)\nElle est sauvage\nLa nuit est belle (la nuit est belle)\nPour ses otages\n\nHé hé hé hé hé hé hé hé hé hé hé hé hé\n\n(x 2)\nLa nuit est chaude\nLa nuit est belle"
Né en 17 à Leidenstadt,Fredericks Goldman Jones,"Et si j'étais né en 17 à Leidenstadt\nSur les ruines d'un champ de bataille,\nAurais-je été meilleur ou pire que ces gens\nSi j'avais été Allemand ?\nBercé d'humiliation, de haine et d'ignorance\nNourri de rêves de revanche,\nAurais-je été de ces improbables consciences\nLarmes au milieu d'un torrent \n\nSi j'avais grandi dans les docklands de Belfast\nSoldat d'une foi, d'une caste,\nAurais-je eu la force envers et contre les miens\nDe trahir, tendre une main ? \n\nSi j'étais née blanche et riche à Johannesburg\nEntre le pouvoir et la peur,\nAurais-je entendu ces cris portés par le vent ?\nRien ne sera comme avant\n\nOn saura jamais c'qu'on a vraiment dans nos ventres\nCaché derrière nos apparences\nL'âme d'un brave ou d'un complice ou d'un bourreau\nOu le pire ou le plus beau\nSerions-nous de ceux qui résistent \nOu bien les moutons d'un troupeau\nS'il fallait plus que des mots ? \n\nSi j'étais né en 17 à Leidenstadt\nSur les ruines d'un champ de bataille\nAurais-je été meilleur ou pire que ces gens\nSi j'avais été allemand \n\nEt qu'on nous épargne à toi et moi \nSi possible très longtemps\nD'avoir à choisir un camp"
Né ici,Doc Gynéco,"Là-bas il fait chaud, on boit l'eau du coco\nSous les cocotiers, les filles sont dorées\nLes maillots mouillés et les bondas bombés\nÇa sent le colombo, les plats épicés\nY a du zouk à fond, des fruits de la passion\nFrancky Vincent est le saint patron\nOn coupe la canne pour en prendre le sucre\nMélanger citron vert et rhum trois rivières\nBologne ou La Mauny et oui c'est clair\nClair comme l'eau, comme l'eau de la mer\nJ'y vais quand c'est gratuit, congés bonifiés\nDis-moi timal, est-ce que tu connais ?\nSuis-moi dans les hauteurs de la Soufrière\nJe suis le guide touristique qui t'emmène en Basse-Terre\nOn tape une pointe pour aller à la pointe\nC'est du frotter-frotter et les gens qui s'éreintent \n\n(x 2)\nMa mère est née là-bas\nMon père est né là-bas\nMoi je suis né ici\nDans la misère et les cris \n\nC'est le deuxième couplet j'espère qu'on pourra clippé\nTu pourras voir la tristesse de mon quartier\nIci, tout est gris, ça s'appelle Paris\nLes rues sont mortes, les filles décolorées\nPour rester bronzées, elles brûlent sous UV\nToujours fâchée la fille de la ville\nEst agressive comme un flic en civil\nY a comme une odeur de gaz sur les Champs-Elysées\nEt les bombes pètent dans le RER D\nMa mère est fatiguée je la laisse respirer\nJe vis de mon côté et tente de subsister\nArrête de rapper me crie-t-elle toute la journée\nCe n'est pas sérieux, trouve un métier\nFumer ça donne faim, je suis Arsène Lupin\nJe tape à ED même sans les mains\nSur mon canapé on est moins serrés\nC'est sûr certains se sont faits soulever\nJe pense aux novices et n'oublie pas mes complices \n\n(x 2)\nMa mère est née là-bas\nMon père est né là-bas\nMoi je suis né ici\nDans la misère et les cris \n\nJ'veux porter des shorts toute ma vie\nAvec mon escorte quitter Paris\nManger du poisson grillé sur la plage du Gosier\nPrendre des bains de mer avec le ministère\nMais je me suis noyé je ne sais pas nager\nLes rues sont profondes et mènent toutes au boulevard Ney\nComment s'en sortir pour la fille du quartier\nElle croit que pour percer, il faut se faire trouer\nCertains jouent au foot et veulent devenir pro\nD'autres dealent et rêvent de kilos\nLes seringues mortes se ramassent à la pelle\nSur les trottoirs de la rue La Chapelle\nOn protège nos fils de tout ce vice\nDans les cours d'école on ne sniffe plus de colle\nDrogue et alcool ont pris le monopole\nMa vie n'est pas simple, elle n'est pas funky\nMoi je suis né ici, et mon enfant aussi \n\n(x 2)\nMa mère est née là-bas\nMon père est né là-bas\nMoi je suis né ici\nDans la misère et les cris"
Né quelque part,Maxime Le Forestier,On choisit pas ses parents on choisit pas sa famille\nOn choisit pas non plus les trottoirs de Manille\nDe Paris ou d'Alger\nPour apprendre à marcher\nÊtre né quelque part\nÊtre né quelque part pour celui qui est né\nC'est toujours un hasard\n(Nom'inqwando yes qxag iqwhasa)   (x 2) \n\nY a des oiseaux de basse-cour et des oiseaux de passage\nIls savent où sont leurs nids qu'ils rentrent de voyage\nOu qu'ils restent chez eux\nIls savent où sont leurs œufs\nÊtre né quelque part\nÊtre né quelque part c'est partir quand on veut\nRevenir quand on part\n(Nom'inqwando yes qxag iqwhasa)   (x 2) \n\nEst-ce que les gens naissent égaux en droit\nÀ l'endroit où ils naissent\n(Nom'inqwando yes qxag iqwhasa)\nEst-ce que les gens naissent égaux en droit\nÀ l'endroit où ils naissent\nQue les gens naissent pareils ou pas ? \n\nOn choisit pas ses parents on choisit pas sa famille\nOn choisit pas non plus les trottoirs de Manille\nDe Paris ou d'Alger \nPour apprendre à marcher\nJe suis né quelque part\nJe suis né quelque part laissez-moi ce repère\nOu je perds la mémoire\n(Nom'inqwando yes qxag iqwhasa)   (x 3) \n\nEst-ce que les gens naissent égaux en droit\nÀ l'endroit où ils naissent\nQue les gens naissent pareils ou pas\n(buka naba baxoshana)\nNom'inqwando yes qxag iqwhasa   (x 2)  \nEst-ce que les gens naissent égaux en droit\nÀ l'endroit où ils naissent\nQue les gens naissent pareils ou pas\n(buka naba baxoshana)\n(Nom'inqwando yes qxag iqwhasa)   (x 4)\n(buka naba baxoshana)
O Carole,Johnny Hallyday,"O Carole\nNe me regarde pas comme ça\nCe soir si je suis là\nC'est pour te dire qu'il ne viendra pas\n\nÇa ne vaut pas la peine de pleurer pour ça\nTu le remplaceras, d'ici huit jours tu l'oublieras\nMaintenant dans tes yeux toute la joie s'est envolée\nSèche tes larmes oublie tout ça, avec moi viens danser\nEt quand il saura que tu t'es consolée dans mes bras\nCe jour-là peut-être enfin, il reviendra vers toi\n\nO Carole\nNe me regarde pas comme ça\nCe soir si je suis là\nC'est parce que tu es tout pour moi\n\n[ Instrumental ]\n\nTu danses dans mes bras mais tu es loin de moi\nOui, tu y penses à celui qui ne viendra pas\nMais je crois bien que c'est lui, que j'aperçois là-bas\nIl vient tout droit vers toi, aussi tu lui souris déjà\nIl est trop tard pour moi, c'est bien fini\nEt oui déjà, on dirait qu'il a changé d'avis\n\nO Carole\nNe me regarde comme ça\nIl y a trop de joie dans tes yeux\nC'est bien fini pour moi\n\nO Carole\nNe me regarde comme ça\nIl y a trop de joie dans tes yeux\nC'est bien fini pour moi\nYeah… wou… hey Carole… hey hey Carole"
Octobre,Francis Cabrel,Le vent fera craquer les branches\nLa brume viendra dans sa robe blanche\nY aura des feuilles partout\nCouchées sur les cailloux\nOctobre tiendra sa revanche \n\nLe soleil sortira à peine\nNos corps se cacheront sous des bouts de laine\nPerdue dans tes foulards\nTu croiseras le soir\nOctobre endormi aux fontaines \n\nIl y aura certainement\nSur les tables en fer-blanc\nQuelques vases vides et qui traînent\nEt des nuages pris aux antennes \n\nJ't'offrirai des fleurs\nEt des nappes en couleur\nPour ne pas qu'octobre nous prenne \n\nOn ira tout en haut des collines\nRegarder tout ce qu'octobre illumine\nMes mains sur tes cheveux\nDes écharpes pour deux\nDevant le monde qui s'incline \n\nCertainement \nAppuyés sur des bancs\nY aura quelques hommes qui se souviennent\nEt des nuages pris sur les antennes \n\nJ't'offrirai des fleurs \nEt des nappes en couleur\nPour ne pas qu'octobre nous prenne \n\nEt sans doute on verra apparaître\nQuelques dessins sur la buée des fenêtres\n\n(x2)\nVous vous jouerez dehors \nComme les enfants du Nord\nOctobre restera peut-être
Oh ! J'cours tout seul,William Sheller,La vie c'est comme une image\nTu t'imagines dans une cage\nOu ailleurs\nTu dis c'est pas mon destin\nOu bien tu dis c'est dommage\nEt tu pleures\nOn m'a tout mis dans les mains\nJ'ai pas choisi mes bagages\nEn couleur\nJe cours à côté d'un train\nQu'on m'a donné au passage\nDe bonne heure\n\nEt je regarde ceux\nQui se penchent aux fenêtres\nJ'me dis qu'y en a parmi eux\nQui me parlent peut-être\n\nOh j'cours tout seul\nJe cours et j'me sens toujours tout seul\nSi je n'te comprends pas\nApprends-moi ton langage\nDis-moi des choses\nQui m'font du bien\nQui m'remettent à la page\nOh j'cours tout seul\nJe cours et j'me sens toujours tout seul\n\nPour des histoires que j'aime bien\nJ'ai parfois pris du retard\nMais c'est rien\nJ'irai jusqu'au bout du ch'min\nEt quand ce s'ra la nuit noire\nJe s'rai bien\nFaut pas qu'tu penses à demain\nFaut pas dormir au hasard\nEt tu tiens\nJe cours à côté d'un train\nQu'on m'a donné au passage\nUn matin\n\nEt je regarde ceux\nQui s'allument aux fenêtres\nJ'me dis qu'y en a parmi eux\nQui m'aimeraient peut-être\n\nOh j'cours tout seul\nJe cours et j'me sens toujours tout seul\nMême si j'te comprends pas\nApprends-moi ton langage\nDis-moi des choses\nQui m'font du bien\nQui m'remettent à la page\nOh j'cours tout seul\nJe cours et j'me sens toujours tout seul\n\n[Instrumental]\n\nEt je regarde ceux\nQui s'endorment aux fenêtres\nJ'me dis qu'y en a parmi eux\nQui m'oublient peut-être\nOh j'cours tout seul\nJe cours et j'me sens toujours tout seul\n\n[Instrumental]\n\nOn vous dira sans doute\nQue mon histoire est bizarre\nJe sais mais j'peux pas m'arrêter\nVu qu'y a plus d'noms sur les gares\n\n(x 2)\nOh j'cours tout seul\nJe cours et j'me sens toujours tout seul
